Patent,SMILES,Source,pKa,Size,PDI,EE%
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCn2cnc1c(N)ncnc12,116,6.14,63.3,0.14,99.4
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)Oc1ccc(CCCCC)c(CCCCC)c1,118,6.14,72.1,0.08,98
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)Oc1ccc(CCCCC)cc1,119,5.29,60.8,0.24,98.1
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCCN)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,121,8.5,98.4,0.18,100
CA2998810A1,CCCCCCCCC(C)OC(=O)CCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,122,6.83,69.3,0.09,98.2
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(C)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,123,6.27,81.6,0.23,94.4
CA2998810A1,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(C)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,124,5.89,61.3,0.1,97.7
CA2998810A1,,125,,90.9,0.16,79.6
CA2998810A1,CCCCCCCCCOC(=O)CCCN(C)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,126,6,77.4,0.18,96.8
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCCCOP(=O)(OCCCCCCCCC)OCCCCCCCCC,127,6.98,110.4,0.19,89.5
CA2998810A1,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCC(=O)OC(CCCCCCCC)C1CC1,128,6.56,69.4,0.14,98.2
CA2998810A1,CCCCCCCCCCCOC(=O)CCCCCN(CCO)CCCCCCCC(=O)N(CCCCCCCC)CCCCCCCC,129,7.3,86.3,0.19,77.2
CA2998810A1,CCCCCCCCC(C)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)N(CCCCCCCC)CCCCCCCC,130,6.83,107.1,0.13,97
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCOP(=O)(OCCCCCCCC)OCCCCCCCC,131,7.76,167.9,0.095,75.44
CA2998810A1,CCCCCCCCOP(=O)(OCCCCCCCC)OCCCCCCCN(CCO)CCCCCCCC(=O)OC(C)CCCCCCCC,132,7.34,298,0.18,30.77
CA2998810A1,CCCCCCCCC(CCCCCC)C(=O)OCCCCCCCCCN(CCO)CCCCCCCCCOC(=O)C(CCCCCC)CCCCCCCC,133,6.38,66,0.098,91.48
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCCCOC(=O)C(CCCCCC)CCCCCCCC,134,6.66,85.6,0.11,94.62
CA2998810A1,CCCCCCCCC(C)OC(=O)CCCCCCCN(CCO)CCCCCCCOC(=O)C(CCCCCCCC)CCCCCCCC,135,6.47,89.5,0.13,90.2
CA2998810A1,CCCCC/C=C\C\C=C/CCCCCCCCN(CCO)CCCCCCCC(=O)OCCCCCCCCC,136,6.95,140.4,0.5,90.9
